cycle,avg_attention,avg_performance,is_break,high_attention_count
0,0.5735,0.5052,True,10
1,0.6215,0.5108,True,13
2,0.6674,0.5164,True,13
3,0.7074,0.5224,True,14
4,0.7414,0.5288,True,14
5,0.7738,0.5356,True,15
6,0.8038,0.5428,True,16
7,0.8288,0.5512,True,17
8,0.8528,0.5596,True,18
9,0.8753,0.5684,True,21
10,0.8973,0.578,True,21
11,0.9184,0.588,True,22
12,0.9373,0.598,True,24
13,0.9537,0.608,True,25
14,0.9687,0.618,True,25
15,0.98,0.628,True,25
16,0.988,0.638,True,25
17,0.996,0.648,True,25
18,0.9991,0.658,True,25
19,1.0,0.668,True,25
20,1.0,0.678,True,25
21,1.0,0.688,True,25
22,1.0,0.698,True,25
23,1.0,0.708,True,25
24,1.0,0.718,True,25
25,1.0,0.728,True,25
26,1.0,0.738,True,25
27,1.0,0.748,True,25
28,1.0,0.758,True,25
29,1.0,0.768,True,25
30,0.98,0.778,False,25
31,0.96,0.788,False,25
32,0.94,0.798,False,25
33,0.92,0.808,False,25
34,0.9,0.818,False,25
35,0.88,0.828,False,25
36,0.86,0.838,False,25
37,0.84,0.848,False,25
38,0.82,0.858,False,25
39,0.8,0.868,False,25
40,0.78,0.878,False,25
41,0.76,0.888,False,25
42,0.74,0.898,False,25
43,0.72,0.908,False,25
44,0.7,0.918,False,0
45,0.68,0.928,False,0
46,0.66,0.938,False,0
47,0.64,0.948,False,0
48,0.62,0.958,False,0
49,0.6,0.958,False,0
50,0.58,0.958,False,0
51,0.56,0.958,False,0
52,0.54,0.958,False,0
53,0.52,0.958,False,0
54,0.5,0.958,False,0
55,0.48,0.958,False,0
56,0.46,0.958,False,0
57,0.44,0.958,False,0
58,0.42,0.958,False,0
59,0.4,0.958,False,0
60,0.45,0.958,True,0
61,0.5,0.958,True,0
62,0.55,0.958,True,0
63,0.6,0.958,True,0
64,0.65,0.968,True,0
65,0.7,0.9728,True,0
66,0.75,0.9772,True,25
67,0.8,0.9816,True,25
68,0.85,0.9856,True,25
69,0.9,0.9892,True,25
70,0.95,0.9924,True,25
71,1.0,0.9952,True,25
72,1.0,0.9968,True,25
73,1.0,0.9984,True,25
74,1.0,0.9996,True,25
75,1.0,1.0,True,25
76,1.0,1.0,True,25
77,1.0,1.0,True,25
78,1.0,1.0,True,25
79,1.0,1.0,True,25
80,1.0,1.0,True,25
81,1.0,1.0,True,25
82,1.0,1.0,True,25
83,1.0,1.0,True,25
84,1.0,1.0,True,25
85,1.0,1.0,True,25
86,1.0,1.0,True,25
87,1.0,1.0,True,25
88,1.0,1.0,True,25
89,1.0,1.0,True,25
90,0.98,1.0,False,25
91,0.96,1.0,False,25
92,0.94,1.0,False,25
93,0.92,1.0,False,25
94,0.9,1.0,False,25
95,0.88,1.0,False,25
96,0.86,1.0,False,25
97,0.84,1.0,False,25
98,0.82,1.0,False,25
99,0.8,1.0,False,25
100,0.78,1.0,False,25
